year,cz,youth_high,youth_low,young_high,young_low,old_high,old_low,annual_wage_high,annual_wage_low,employed_pop_high,employed_pop_low,hourly_wage_high,hourly_wage_low,mean_rent,n_renters,pm25_mean,pm25_n_monitors,ozone_mean,ozone_n_obs,pm25_imputed,imputation_method,pm25_final,pm25_is_imputed,in_returns,in_exemptions,in_agi,out_returns,out_exemptions,out_agi,net_returns,net_exemptions,net_agi,total_emp,total_est,total_payroll,accommodation_food,administrative,agriculture,arts_entertainment,construction,education,finance,health_care,information,management,manufacturing,mining,other_services,professional_services,real_estate,retail,transportation,utilities,wholesale,high_skill_share,pollution_share,lon,lat,total_pop,share_old,share_young,share_high_skill,share_low_skill,skill_wage_premium,log_total_pop,log_pm25_mean,log_ozone_mean,log_mean_rent,log_hourly_wage_high,log_hourly_wage_low,log_total_emp
1980,100.0,0.0,0.0,4520.0,62340.0,420.0,21300.0,22993.651960784315,11854.759734879868,4080.0,48280.0,11.69572543776635,6.823952683865583,203.05683690280063,24280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82.37883229615474,36.490820087881175,88580.0,0.2452020772183337,0.7547979227816662,0.055768796568074055,0.9442312034319259,1.7139224111883848,11.39166137747719,,,5.313485924596234,2.4592234278487055,1.9204388763824527,
1990,100.0,0.0,0.0,12540.0,56577.0,2703.0,25383.0,34884.994348831235,18285.26637610563,11679.0,46806.0,16.94769668805812,10.012597311909008,334.8332982751367,28524.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82.37883229615474,36.490820087881175,97203.0,0.2889416993302676,0.7110583006697324,0.1568161476497639,0.8431838523502361,1.6926374006772935,11.484556854169771,,,5.8136327908834495,2.830131935982625,2.3038440313893465,
2000,100.0,0.0,0.0,13624.0,39268.0,3111.0,16504.0,42148.06290095447,24852.510198362037,12782.0,32113.0,20.46756307751652,13.867016084710736,507.34442341292953,27472.0,16.8160474,30.0,,,,,16.8160474,False,,,,,,,,,,849491.0,72034.0,19937458.0,74667.0,48853.0,184.0,3662.0,43884.0,3156.0,24057.0,84303.0,8033.0,7344.0,102986.0,631.0,37855.0,18819.0,6071.0,124578.0,18358.0,216.0,29016.0,0.162883420777854,0.1224462648809699,-82.37883229615474,36.490820087881175,72507.0,0.2705256044244004,0.7294743955755996,0.23080530155709103,0.769194698442909,1.4759889908892012,11.191438387906086,2.8223336328746758,,6.229190109067028,3.0188413441015833,2.629513076698273,13.652392625570668
2008,100.0,0.0,0.0,18276.0,39263.0,5473.0,17516.0,61149.997003296376,29223.306299164586,16685.0,32798.0,29.33566483685835,16.879020824276274,757.833632782807,28942.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82.37883229615474,36.490820087881175,80528.0,0.28547834293661833,0.7145216570633817,0.2949160540433141,0.7050839459566859,1.7379956540290709,11.296360229016141,,,6.630463879735835,3.378804005726201,2.8260714794447743,
2009,100.0,0.0,0.0,31846.0,85693.0,11211.0,36466.0,56823.26432917067,28262.250154462847,31230.0,66359.0,27.83046343115813,15.579790873663796,674.1185851701389,59569.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82.37883229615474,36.490820087881175,165216.0,0.2885737458841759,0.7114262541158242,0.26061035250823167,0.7393896474917684,1.7863181641419186,12.015008987679376,,,6.51340603782519,3.32613122761468,2.7459746176094995,
2010,100.0,0.0,0.0,36266.0,78425.0,11967.0,38622.0,58444.83698047146,30522.202945372846,33131.0,60977.0,28.984724214101515,16.32406306012497,710.0900660368416,63298.0,,,0.0344775621181262,491.0,,,,False,3320.0,6028.0,111620.0,3294.0,5796.0,118600.0,26.0,232.0,-6980.0,761634.0,69590.0,24959816.0,100692.0,26487.0,180.0,4383.0,27925.0,2712.0,25560.0,114906.0,4686.0,12395.0,47653.0,503.0,36422.0,22482.0,5145.0,95748.0,17962.0,0.0,20668.0,0.2236586076777034,0.0634635533602754,-82.37883229615474,36.490820087881175,165280.0,0.30608059051306874,0.6939194094869313,0.2918259922555663,0.7081740077444337,1.775582715365939,12.015396284353466,,-3.3674465399169855,6.565391815563143,3.366768939966424,2.792640280567522,13.543221404319972
2011,100.0,0.0,0.0,36412.0,81461.0,10617.0,41453.0,57879.86142279106,29964.778832918324,34847.0,64657.0,28.086061740169228,16.234806079818338,721.3018603072746,64828.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82.37883229615474,36.490820087881175,169943.0,0.30639685070876704,0.6936031492912329,0.2767339637407837,0.7232660362592164,1.72999058948313,12.04321836569111,,,6.58105771860969,3.3352734297978355,2.7871574609080696,
2012,100.0,0.0,0.0,37533.0,79444.0,13669.0,40943.0,67937.77726813553,31323.59589041096,36627.0,63656.0,31.291586281012293,16.93781017171098,728.5812543500116,64655.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82.37883229615474,36.490820087881175,171589.0,0.31827215031266576,0.6817278496873342,0.29839908152620503,0.7016009184737949,1.8474398971169579,12.052857361417239,,,6.591099155928925,3.4433492524971703,2.829548411193187,
2013,100.0,0.0,0.0,39343.0,77199.0,12397.0,41951.0,59159.32408065827,29705.74791863085,39376.0,62579.0,28.159708034967483,16.159974952473934,758.8404962748599,64964.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82.37883229615474,36.490820087881175,170890.0,0.31802914155304585,0.6819708584469542,0.3027678623676049,0.6972321376323951,1.7425588911978176,12.048775353640954,,,6.631791605475565,3.337892163159654,2.782537503121076,
2015,100.0,0.0,0.0,18438.0,38335.0,7683.0,22091.0,65897.91029616166,30770.54794974641,18706.0,30167.0,33.70035861119177,16.313168677067477,829.4730367028911,34139.0,7.6246155,16.0,0.0315690040816326,490.0,,,7.6246155,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82.37883229615474,36.490820087881175,86547.0,0.34402116768923247,0.6559788323107676,0.30181288779507087,0.6981871122049291,2.0658376847758975,11.368442897958552,2.031381894992522,-3.4555795232629345,6.720790603620438,3.517508478583353,2.7919726759403987,
